key,Model,Arena Elo rating (anony),Arena Elo rating (full),MTEB Overall Avg,MTEB Retrieval Avg,MTEB Clustering Avg,MTEB STS Avg,License,Organization,Link
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,1202.152645945198,1202.152645945198,64.68,54.39,46.71,85.0,Apache 2.0,mixedbread.ai,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
GritLM/GritLM-7B,GritLM/GritLM-7B,1192.13356466656,1192.13356466656,66.76,57.41,50.61,83.35,Apache-2.0,"Contextual AI, HKU, Microsoft",https://huggingface.co/GritLM/GritLM-7B
intfloat/multilingual-e5-large-instruct,intfloat/multilingual-e5-large-instruct,1187.3247939160165,1187.3247939160165,64.41,52.47,47.1,84.78,MIT License,Microsoft,https://huggingface.co/intfloat/multilingual-e5-large-instruct
Salesforce/SFR-Embedding-2_R,Salesforce/SFR-Embedding-2_R,1152.5035385354104,1152.5035385354104,70.31,60.18,56.17,81.26,CC-BY-NC-4.0,Salesforce,https://huggingface.co/Salesforce/SFR-Embedding-2_R
text-embedding-004,text-embedding-004,1138.172905273326,1138.172905273326,66.31,55.7,47.48,85.07,Proprietary,Google,https://cloud.google.com/vertex-ai/generative-ai/docs/model-reference/text-embeddings-api
BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,1122.7883890148942,1122.7883890148942,64.23,54.29,46.08,83.11,MIT,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5
intfloat/e5-mistral-7b-instruct,intfloat/e5-mistral-7b-instruct,1083.6534223542562,1083.6534223542562,66.63,56.89,50.26,84.63,MIT License,Microsoft,https://huggingface.co/intfloat/e5-mistral-7b-instruct
text-embedding-3-large,text-embedding-3-large,1075.3162265762132,1075.3162265762132,64.59,55.44,49.01,81.73,Proprietary,OpenAI,https://platform.openai.com/docs/guides/embeddings
voyage-multilingual-2,voyage-multilingual-2,1072.0325036661131,1072.0325036661131,,,,,Proprietary,Voyage AI,https://docs.voyageai.com/docs/embeddings
BM25,BM25,1008.0340288733424,1008.0340288733424,,42.4,,,MIT,,https://github.com/xhluca/bm25s
embed-english-v3.0,embed-english-v3.0,949.6891152713139,949.6891152713139,64.47,55,47.43,82.62,Proprietary,Cohere,https://docs.cohere.com/docs/cohere-embed
Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,914.227240981964,914.227240981964,70.24,60.25,56.92,83.04,Apache 2.0,Alibaba,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,656.1122479553449,656.1122479553449,62.28,53.01,43.93,81.94,Apache 2.0,nomic.ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
jinaai/jina-embeddings-v2-base-en,jinaai/jina-embeddings-v2-base-en,628.1262588490765,628.1262588490765,60.38,47.87,41.73,80.7,Apache 2.0,Jina AI,https://huggingface.co/jinaai/jina-embeddings-v2-base-en
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,617.7331181209711,617.7331181209711,56.26,41.95,42.35,78.9,Apache-2.0,Sentence Transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
